State,Uninsured Rate (2010),Uninsured Rate (2015),Uninsured Rate Change (2010-2015),Health Insurance Coverage Change (2010-2015),Employer Health Insurance Coverage (2015),Marketplace Health Insurance Coverage (2016),Marketplace Tax Credits (2016),Average Monthly Tax Credit (2016),State Medicaid Expansion (2016),Medicaid Enrollment (2013),Medicaid Enrollment (2016),Medicaid Enrollment Change (2013-2016),Medicare Enrollment (2016),Total Insured Approx,Public vs Private Risk Index,Annual Tax Credit Expenditure,Subsidy Dependence Ratio
Alabama ,0.146,0.10099999999999999,-0.045,215000,2545000,165534,152206,310,False,799176.0,910775,111599.0,989855,4611164,0.7012013130991901,566206320,0.9194848188287602
Alaska ,0.19899999999999998,0.149,-0.05,36000,390000,17995,16205,750,True,122334.0,166625,44291.0,88966,663586,0.626456206571159,145845000,0.900527924423451
Arizona ,0.16899999999999998,0.10800000000000001,-0.061,410000,3288000,179445,124346,230,True,1201770.0,1716198,514428.0,1175624,6359267,0.833992175795146,343194960,0.6929476998523224
Arkansas ,0.175,0.095,-0.08,234000,1365000,63357,56843,306,True,556851.0,920194,363343.0,606146,2954697,1.0685983966193326,208727496,0.8971857884685197
California,0.185,0.086,-0.099,3826000,19552000,1415428,1239893,309,True,7755381.0,11843081,4087700.0,5829777,38640286,0.8428720012774099,4597523244,0.8759845078661719
Colorado,0.159,0.081,-0.078,419000,2949000,108311,67062,318,True,783420.0,1375264,591844.0,820234,5252809,0.7181140551288371,255908592,0.6191614886761271
Connecticut,0.091,0.06,-0.031,110000,2148000,102917,80759,357,True,2255699.08,761137,644246.28,644136,3656190,0.6243113362243032,345971556,0.7847002924686883
Delaware ,0.09699999999999999,0.059000000000000004,-0.038,35000,564000,25379,21467,330,True,223324.0,236702,13378.0,186835,1012916,0.718615695503233,85009320,0.8458568107490445
District of Columbia,0.076,0.038,-0.038,25000,388000,17666,1224,183,True,235786.0,255491,19705.0,90492,751649,0.8528765043163588,2687904,0.06928563342012906
Florida ,0.213,0.133,-0.08,1597000,8847000,1531714,1428712,305,False,3104996.0,3644673,539677.0,4149593,18172980,0.7509857194253546,5229085920,0.932753764736759
Georgia ,0.19699999999999998,0.139,-0.057999999999999996,581000,5240000,478016,427353,291,False,1535090.0,1782301,247211.0,1574058,9074375,0.5869796446879477,1492316676,0.8940140078993172
Hawaii,0.079,0.04,-0.039,54000,867000,13313,10958,270,True,288357.0,341200,52843.0,252514,1474027,0.674435115691805,35503920,0.8231052354841133
Idaho,0.177,0.11,-0.067,109000,836000,94270,82802,265,False,238150.0,293905,55755.0,294284,1518459,0.6322777258215356,263310360,0.8783494218733425
Illinois ,0.138,0.071,-0.067,850000,7359000,335243,259701,237,True,2626943.0,3117939,490996.0,2118300,12930482,0.6805398529783891,738589644,0.7746649445327718
Indiana ,0.14800000000000002,0.096,-0.052000000000000005,339000,3825000,168884,139437,259,True,1120674.0,1489805,369131.0,1181014,6664703,0.6687272339406953,433370196,0.8256377158286161
Iowa ,0.09300000000000001,0.05,-0.043,132000,1862000,48949,42595,307,True,493515.0,619055,125540.0,587780,3117784,0.6315370007258174,156919980,0.870191423726736
Kansas ,0.139,0.091,-0.048,137000,1659000,89566,75815,247,False,378160.0,421638,43478.0,499753,2669957,0.526940933313355,224715660,0.846470758993368
Kentucky,0.153,0.06,-0.09300000000000001,404000,2316000,74640,56488,258,True,606805.0,1220788,613983.0,881938,4493366,0.8795661412843423,174886848,0.7568060021436227
Louisiana ,0.17800000000000002,0.11900000000000001,-0.059000000000000004,269000,2295000,184403,170806,362,True,1019787.0,1328708,308921.0,817272,4625383,0.8655228698198719,741981264,0.9262647570809586
